Year,Type,Authors,Publication,Volume,Pages,ISSN,Title,Impreso,PDF,Group,DOI,Type II,Proyect ID,Institution Authors,Colciencias Clasification,Impact Factor,Proyecto,NPages
1999,Internacional,"Carletti, Claudia; Torroba, Roberto; Henao, Rodrigo; ",Optics Communications,160,195,0030-4018,Measuring velocity of speckle fields with digital speckle pattern interferometry,,,GOF: Grupo Óptica y Fotónica,10.1016/S0030-4018(98)00651-8,,,Henao Henao Rodrigo,A1,"1,552",,6
1993,Internacional,"Henao, Rodrigo; Medina, Fernando; Rabal, Héctor J; Trivi, Marcelo; ",Applied =ptics,32,726,0000-0000,Three-dimensional speckle measurements with a diffraction grating,,,GOF: Grupo Óptica y Fotónica,10.1364/AO.32.000726,,,Henao Henao Rodrigo,00,"-1,0",,4
1999,Internacional,"Henao, R; Tagliaferri, A; Torroba, R; ",Optik,110,199,0030-4026,A contouring approach using single grating digital shadow moiré with a phase stepping technique,,,GOF: Grupo Óptica y Fotónica,Not DOI,,,Henao Henao Rodrigo,A2,"0,507",,3
2004,Internacional,"Kolodziejczyk, Andrzej; Jaroszewicz, Zbigniew; Henao, Rodrigo; Quintero, Orlando; ",Journal of Optics,6,651,1464-4258,The Talbot array illuminator: imaging properties and a new interpretation,,,GOF: Grupo Óptica y Fotónica,10.1088/1464-4258/6/6/022,,,Henao Henao Rodrigo,A1,"-1,0",,-1
2009,Internacional,"Rueda, Edgar; Barrera, John F; Henao, Rodrigo; Torroba, Roberto; ",Optics Communications,282,3243,0030-4018,Optical encryption with a reference wave in a joint transform correlator architecture,,,GOF: Grupo Óptica y Fotónica,10.1016/j.optcom.2009.05.022,,,Rueda Muñoz Edgar Alberto; Barrera Ramírez John Fredy; Henao Henao Rodrigo,A1,"1,552",,7
1996,Internacional,"Torroba, Roberto; Henao, Rodrigo; Carletti, Claudia; ",Optics Letters,21,1918,0146-9592,Digital polarization-encoding technique for optical logic operations,,,GOF: Grupo Óptica y Fotónica,10.1364/OL.21.001918,,,Henao Henao Rodrigo,A1,"3,772",,3
2001,Internacional,"Castañeda, Román; Garcı́a-Sucerquia, Jorge; Henao, Rodrigo; Trabocchi, Osvaldo; ",Optics and Lasers in Engineering,36,537,0143-8166,Information encryption through dyadic permutations,,,GOF: Grupo Óptica y Fotónica,10.1016/s0143-8166(01)00079-3,,,Henao Henao Rodrigo,A2,"1,103",,8
2009,Internacional,"Barrera, John Fredy; Henao, Rodrigo; Tebaldi, Myrian; Torroba, Roberto; Bolognini, Néstor; ",Optik,120,342,0030-4026,Digital encryption with undercover multiplexing by scaling the encoding mask,,,GOF: Grupo Óptica y Fotónica,10.1016/j.ijleo.2007.10.002,,,Barrera Ramírez John Fredy; Henao Henao Rodrigo,A2,"0,507",,5
2001,Internacional,"Joenathan, C; Torroba, R; Henao, R; ",Optik,112,163,0030-4026,Surface roughness effects in dual beam illumination speckle interferometers: Theoretical study,,,GOF: Grupo Óptica y Fotónica,10.1078/0030-4026-00034,,,Henao Henao Rodrigo,A2,"0,507",,6
2010,Internacional,"Henao, Rodrigo; Rueda, Edgar; Barrera, John F; Torroba, Roberto; ",Optics Letters,35,333,0146-9592,Noise-free recovery of optodigital encrypted and multiplexed images,,,GOF: Grupo Óptica y Fotónica,10.1364/OL.35.000333,,,Henao Henao Rodrigo; Rueda Muñoz Edgar Alberto; Barrera Ramírez John Fredy,A1,"3,059",,3
2005,Internacional,"Jaroszewicz, Zbigniew; Kołodziejczyk, Andrzej; Mira, Alejandro; Henao, Rodrigo; Bará, Salvador; ",Optics Express,13,918,1094-4087,Equilateral hyperbolic moiré zone plates with variable focus obtained by rotations,,,GOF: Grupo Óptica y Fotónica,10.1364/opex.13.000918,,,Mira Agudelo Alejandro; Henao Henao Rodrigo,A1,"3,88",,8
2002,Internacional,"Kolodziejczyk, Andrzej; Jaroszewicz, Zbigniew; Henao, Rodrigo; Quintero, Orlando; ",American Journal of Physics,70,169,0002-9505,An experimental apparatus for white light imaging by means of a spherical obstacle,,,GOF: Grupo Óptica y Fotónica,10.1119/1.1419099,,,Henao Henao Rodrigo,A1,"0,831",,4
2000,Internacional,"Kolodziejczyk, Andrzej; Jaroszewicz, Zbigniew; Henao, Rodrigo; ",JOSA A,17,724,2156-7085,Lens-based theory of the Lau effect,,,GOF: Grupo Óptica y Fotónica,10.1364/JOSAA.17.000724,,,Henao Henao Rodrigo,A1,"0,0",,5
2005,Nacional,"López, J; Reyes, L; Tobón, J; Henao, R; Grimsditch, M; Morales, AL; Osorio, J; ",Revista Colombiana de Física,37,384,0120-2650,Montaje y calibración de un sistema de efecto Kerr magnetoóptico,,,GOF: Grupo Óptica y Fotónica; GES: Estado Sólido,Not DOI,,,Henao Henao Rodrigo; Morales Aramburo Álvaro; Osorio Vélez Jaime,B,"-1,0",,5
1998,Internacional,"Angel, Luciano; Tebaldi, Myrian; Henao, Rodrigo; Tagliaferri, Alberto; Trivi, Marcelo; Bolognini, Nestor; Torroba, Roberto; ",Optics Communications,149,235,0030-4018,Phase-stepping technique with an electro-optic crystal in digital speckle pattern interferometry,,,GOF: Grupo Óptica y Fotónica,10.1016/S0030-4018(98)00013-3,,,Henao Henao Rodrigo,A1,"1,552",,4
